clean_text_string,modularity_class
iedereen weet kozp zieke racistische organisatie criminele media steunt,2
demonstratie aangevraagd moest snel mogelijk gestopt kozp denkt vanwege woke linkse steun overal mee wegkomen leugens bedrog zogenaamd aangevallen juist guur opstelt reactie verwachten,2
akwasi uitspraak bedreiging zei dreigen gedaan klopt,2
behalve mevrouw kinderwagen megafoon gezicht duwen roepen fatsoen koz,2
kozp mensen belaagt wegkijken mild moesten klappen gekregen demonsteren recht,2
soros gefinancierde organisatie dient ver weg houden galli rs oliebollen eie,2
kick out kozp kickoutkozp,2
politie natuurlijk kozp volendamse dijk moeten slaan net zoals elke vredelievend,2
politie kozp zichzelf problemen gebracht bent markt ineens ko,2
gaslighting kozp werkt eraan mee hadden we anders verwacht nee natuurlijk,2
politie goed opgelost toppers hadden kozp demonstranten behandeling willen ontvangen co,2
kijk eerst kozp deed voordat bevolking begon reageren actie reactie d,2
kozp ontevreden iedereen laat links liggen weinig publiciteit haal su,2
hahahahahah fantastische actie volendammers bijdehande zwaar verdwaasde stadstype,2
wilde heel ver meegaan beleving tav zwartepiet ontwikkelt rupsje,2
kozp racistische oproer intimidatie locale rust verstoord volendam weg,2
pek veren verjaagd weg kozp beroeps racisten,2
sashi eindelijk kozp relschoppers weggejaagd wakkere volendammers nl verdedigen,2
enige echte,2
lekker man lang leve volendam begint eindelijk beetje dagen alle normale nederlan,2
the kozp protestors didn t even have a permit to protest so how could the police prepare itself for the,2
laat kozp goed licht houden 20 jaar jeugdgevangenis verzameld lid uitkeringstrekkers links woke vrouwtjes,2
kozp ophouden nederlanders bloed nagels vandaan halen,2
kozp denkt gewoon wij hoeven demo vragen wij kozp wij weggestuurd,2
10 punten kozp kwam demonstreren provoceren gelukt iedereen happy,2
sylvana onaangekondigd demonstreren strafbaar dient boete opgelegd kozp betalen,2
zonde subsidie geld geven racisten kozp geld,2
neem kozp bedoeld,2
kozp onderdeel nuc geleid mitchell esajas zegt filmpje gew,2
bange witte mensen denken eeuwige schuld slavernijver,2
vind klasse volendammers nare lui kozp ve,2
kozp provocateurs beschermd d66 groenlinks,2
arme aaron n extremistische vader hoort ouderlijke macht gezet,2
lelijkerds verzameling trieste figuren kozp erg leeg zinloos leven zullen,2
gesubsidieerde racisten kozp blanke mensen karretje gespannen,2
markt pvv bolwerk zwarte piet gaat demonstreren da,2
uitleggen waarom aangekondigde verboden betoging kozp pas bee ndigd nadat on,2
laatste zinnen kloppen eieren gaat gooien klaar bent kozp,2
wanprestatie kozp mag hopen subsidie gekort faalhazen,2
mevrouw simons voelt zelfs tijdens overleg tweede kamer specialisten veilig letterlijk,2
jullie maken n grap demonstratie kozp aangekondigd gedaante overval ni,2
kozp doet gewoon culturele toe eigening proberen onze traditie hunne maken eig,2
ach zoals voorspelde weer heerlijk slachtofferrol kruipen zelden zulke watjes gezien,2
oja dreigbrief kozp zgn kreeg wel weer justin smollettje racisme blan,2
lijkt verste verte demonstratie volgens richtlijnen succes speklapjes bakken moskee anders nee bedoelde mensen gevolg oorzaak tuig kozp,0
zelfs geld overgemaakt vanuit soros kozp weet wel salonsocialist vind sylvana onterecht ton per jaar krijgt voegt niks toe baudet links beide extreme nikszeggende verdienmodel corona racisme verdienmodel,0
gevraagd beslist extremisten blm verdienmodel kozp voedt jezelf gescheld argumenten fijne dag succes,0
top argument weerlegt snap succes kozp tjes helemaal,0
